RID,CID,CAT,GRID_ID,COUNT
119,1,frequent,F-3,1
119,2,frequent,F-3,1
119,2,frequent,G-3,1
119,3,frequent,F-3,1
119,3,frequent,G-3,1
119,4,frequent,G-3,1
119,5,frequent,G-3,1
119,6,frequent,F-4,1
119,6,frequent,G-4,1
119,6,frequent,F-3,1
119,6,frequent,G-3,1
119,7,frequent,G-6,1
119,7,frequent,G-5,1
119,8,regular,C-2,1
119,8,regular,D-2,1
119,9,regular,D-2,1
119,9,regular,E-2,1
119,10,regular,E-3,1
119,10,regular,F-3,1
119,11,regular,F-3,1
119,11,regular,G-3,1
119,12,regular,F-4,1
119,12,regular,G-4,1
119,12,regular,F-3,1
119,12,regular,G-3,1
119,13,regular,F-6,1
119,13,regular,G-6,1
119,13,regular,F-5,1
119,13,regular,G-5,1
